"scene_segment_id","component_type","position","content","character_name","parenthetical","created_at","updated_at","id","deleted_at","is_deleted"
"7f61ecf7-3640-42d6-8e61-6175e6096147",HEADING,1000.0,EXT. VILLAGE SQUARE - DAY,,,2025-04-02 19:33:07.379 +0530,,"2b7a8cb4-72a4-4dc6-9fc0-69cb7218f42a",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,2000.0,"The blistering sun hangs over a dusty village square, where the people are gathered, their faces marred by defeat and exhaustion. A worn-down finger tree casts its shadow on the ground—a rare solace amidst the arid landscape. In the center stands a corrupt OFFICIAL, his uniform pristine, an emblem of his authority in stark contrast to the ragged attire of the villagers before him.",,,2025-04-02 19:33:07.379 +0530,,f83f44a4-3ed7-45fe-892a-11cbfb22267f,,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,3000.0,"The official, with a smug and cruel sneer, lashes his belt across the back of RAJU, a frail villager whose crop debts have overtaken his meager earnings. Nearby, several men lower their eyes, their hands trembling—paralyzed by fear, unable to interfere. A young peasant boy, ARJUN (10), observes from the crowd, his fists clenched so tight his knuckles turn white.",,,2025-04-02 19:33:07.379 +0530,,b0962833-53c9-4250-88f7-506d0493e69f,,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,4000.0,"Sweat drips down his brow, his clothes patched and torn, but his eyes blaze with something rare in this place—defiance.",,,2025-04-02 19:33:07.379 +0530,,e102ccad-eed6-4fd8-90e2-96a5b0aade4b,,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",CHARACTER,5000.0,ARJUN,,,2025-04-02 19:33:07.379 +0530,,"4067c58c-c55f-4211-89e2-856109496e5a",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,6000.0,"The crowd collectively gasps. Heads turn, murmurs ripple through the gathering like a sudden gust of wind. The official stops mid-strike and looks over his shoulder, clearly annoyed.",,,2025-04-02 19:33:07.379 +0530,,d0a350f9-872e-4f1e-b51c-3385bb07eb76,,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",CHARACTER,7000.0,OFFICIAL,,,2025-04-02 19:33:07.379 +0530,,c90c8107-4a28-422a-aed7-ec6cbdd4bb57,,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,8000.0,"Arjun steps closer, defying the gulf of height and authority between him and the corrupt official. Somewhere far off, a dog barks—a seeming omen of impending chaos.",,,2025-04-02 19:33:07.379 +0530,,"1a191c35-48e3-481a-aa2b-aa78ca7416a7",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",CHARACTER,9000.0,ARJUN,,,2025-04-02 19:33:07.379 +0530,,b5e34ade-248a-4840-a637-59d3ac987fde,,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,10000.0,"The official lets out a sharp laugh, loud enough to sting. He whirls around and saunters toward Arjun, towering over him. Arjun doesn’t flinch.",,,2025-04-02 19:33:07.379 +0530,,"73342862-251d-41ba-b346-f68f4885824a",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",CHARACTER,11000.0,OFFICIAL,,,2025-04-02 19:33:07.379 +0530,,"8cbb1ae0-60ab-461d-b606-95c9df694deb",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,12000.0,Arjun’s shoulders rise and fall with deep breaths. He doesn’t answer immediately but matches the official’s cold stare with fiery resolve.,,,2025-04-02 19:33:07.379 +0530,,"49422f25-3340-4078-89d7-512b99ed0f97",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",CHARACTER,13000.0,ARJUN,,,2025-04-02 19:33:07.379 +0530,,"060d5d96-2ea8-4f35-b75b-1d017084fc8a",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,14000.0,"Gasps morph into whispers as villagers exchange glances of disbelief soon tinged with a glimmer of hope. The official moves to grab Arjun’s collar, but Arjun pivots and dodges, quicker than expected. The boy grabs the whip from the ground, gripping it tightly as he backs away multiple steps.",,,2025-04-02 19:33:07.379 +0530,,"02509a19-3782-42ee-a90d-d4d1e862698a",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,15000.0,"The official exhales sharply, momentarily stunned. It’s a fracture in his authority, and the crowd begins to stir as if waking from slumber.",,,2025-04-02 19:33:07.379 +0530,,"89ca021d-b8e5-42b9-9568-7f4110d4d75b",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",CHARACTER,16000.0,RAJU,,,2025-04-02 19:33:07.379 +0530,,"8b0f835c-63d5-4d77-82b3-bb5e40f6cfc1",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",ACTION,17000.0,"But the boy’s eyes remain locked on the official, his body tense as he holds the whip—not to strike but to defy.",,,2025-04-02 19:33:07.379 +0530,,"9c545f75-616f-4535-9170-1ceb21e9ccdb",,false
"7f61ecf7-3640-42d6-8e61-6175e6096147",CHARACTER,18000.0,ARJUN,,,2025-04-02 19:33:07.379 +0530,,"9f21a494-56d7-4b9d-ba01-6dde0422f13e",,false
